"date_added","event_ts","word","pronunciation","translation","example","category","status"
"2026-04-16","2026-04-16T00:00:00","prod","/prɑːd/","生产环境（production 的口语缩写）","Since this is prod, we'll deploy it tomorrow morning.","word","new"
"2026-04-14","2026-04-14T00:00:00","Hermès","/erˈmɛz/","爱马仕","Hermès is a French luxury brand.","word","new"
"2026-04-13","2026-04-13T00:00:00","remainder","/rɪˈmeɪndər/","剩余部分；余数","I finished half the work and left the remainder for tomorrow.","word","new"
"2026-04-13","2026-04-13T00:00:00","reminder","/rɪˈmaɪndər/","提醒；提示物","This email is just a reminder about tomorrow's meeting.","word","new"
"2026-04-13","2026-04-13T00:00:00","cortisol","/ˈkɔːrtɪˌzɔːl/","皮质醇","High stress can increase cortisol levels.","word","new"
"2026-04-13","2026-04-13T00:00:00","rule out","/ruːl aʊt/","排除；否定某种可能性","We are testing it to rule out the shuffle service as the cause.","phrase","new"
"2026-04-10","2026-04-10T00:00:00","stabilized","/ˈsteɪbəlaɪzd/","稳定了；使稳定","The system stabilized after we rolled back the change.","word","new"
"2026-04-09","2026-04-09T00:00:00","spin up","/spɪn ʌp/","启动；拉起（机器/服务/节点）","How long should we expect the nodes to spin up?","phrase","new"
"2026-04-09","2026-04-09T00:00:00","pod","/pɑːd/","Pod（Kubernetes 中的最小部署单元）","I don't see any pod up yet.","word","new"
"2026-04-08","2026-04-08T00:00:00","dilemma","/dɪˈlemə/","两难处境","He faced a dilemma: stay in the safe job or join a startup.","word","new"
"2025-12-02","2025-12-02T00:00:00","head out","/hed aʊt/","出发；离开","I'm going to head out after lunch.","phrase","new"
"2025-12-02","2025-12-02T00:00:00","hang out","/hæŋ aʊt/","闲逛；一起玩","We usually hang out on weekends.","phrase","new"
"2025-12-02","2025-12-02T00:00:00","chill out","/tʃɪl aʊt/","放松；冷静点","Let's just chill out tonight and watch a movie.","phrase","new"
"2025-12-02","2025-12-02T00:00:00","kick back","/kɪk bæk/","放松休息","After work, I just want to kick back at home.","phrase","new"
"2025-12-02","2025-12-02T00:00:00","kick off","/kɪk ɔːf/","开始","The meeting will kick off at 10 a.m.","phrase","new"
"2025-12-02","2025-12-02T00:00:00","kick around","/kɪk əˈraʊnd/","讨论；随便想想","We're still kicking around a few ideas.","phrase","new"
"2025-12-02","2025-12-02T00:00:00","kick the bucket","/kɪk ðə ˈbʌkɪt/","死掉（口语，非正式）","That phrase means ""to die,"" but it's very informal.","idiom","new"
"2025-12-02","2025-12-02T00:00:00","kick the can down the road","/kɪk ðə kæn daʊn ðə roʊd/","把问题往后拖","They just kicked the can down the road instead of solving it.","idiom","new"
"2025-12-02","2025-12-02T00:00:00","kick up a fuss","/kɪk ʌp ə fʌs/","大吵大闹；引起风波","He kicked up a fuss over a small issue.","phrase","new"
"2025-12-02","2025-12-02T00:00:00","kick in","/kɪk ɪn/","开始生效","The new policy will kick in next month.","phrase","new"
"2025-12-02","2025-12-02T00:00:00","kick out","/kɪk aʊt/","赶出去；踢出","He was kicked out of the group.","phrase","new"
"2025-12-02","2025-12-02T00:00:00","second nature","/ˌsekənd ˈneɪtʃər/","成为本能；驾轻就熟","After years of practice, coding became second nature to her.","idiom","new"
"2025-12-02","2025-12-02T00:00:00","bite the bullet","/baɪt ðə ˈbʊlɪt/","咬牙硬撑；硬着头皮做","I finally bit the bullet and paid for the repair.","idiom","new"
"2025-12-02","2025-12-02T00:00:00","burn the midnight oil","/bɜːrn ðə ˈmɪdnaɪt ɔɪl/","开夜车","She burned the midnight oil to finish the report.","idiom","new"
"2025-12-02","2025-12-02T00:00:00","hit the hay","/hɪt ðə heɪ/","去睡觉","I'm exhausted—I'm going to hit the hay.","idiom","new"
"2025-12-02","2025-12-02T00:00:00","spill the beans","/spɪl ðə biːnz/","泄密；说漏嘴","Who spilled the beans about the surprise?","idiom","new"
"2025-12-02","2025-12-02T00:00:00","through thick and thin","/θruː θɪk ænd θɪn/","不离不弃；共患难","True friends stay with you through thick and thin.","idiom","new"
"2025-12-02","2025-12-02T00:00:00","hit the road","/hɪt ðə roʊd/","上路；出发","We should hit the road before traffic gets bad.","idiom","new"
"2025-12-02","2025-12-02T00:00:00","out of the blue","/aʊt əv ðə bluː/","突然地","He called me out of the blue last night.","idiom","new"
"2025-12-02","2025-12-02T00:00:00","break a leg","/breɪk ə leɡ/","祝你好运（演出前常用）","You'll do great in the interview—break a leg!","idiom","new"
"2025-12-02","2025-12-02T00:00:00","kick the tires","/kɪk ðə taɪərz/","试探性了解；初步检查","We're just kicking the tires on this new idea.","idiom","new"
"2025-12-02","2025-12-02T00:00:00","bite off more than one can chew","/baɪt ɔːf mɔːr ðæn wʌn kæn tʃuː/","贪多嚼不烂","I took on too many tasks and bit off more than I could chew.","idiom","new"
"2025-05-05","2025-05-05T00:00:00","bureaucracy","/bjʊˈrɑːkrəsi/","官僚主义；官僚体系","Too much bureaucracy slows everything down.","word","new"
"2025-05-05","2025-05-05T00:00:00","red tape","/ˌred ˈteɪp/","繁文缛节；繁琐手续","We wasted weeks dealing with red tape.","idiom","new"
"2026-05-17","2026-05-17T00:00:00","formidable","/ˈfɔːrmɪdəbl/","令人敬畏的；强大的；难以对付的","She is a formidable opponent in any debate.","word","new"
"2026-05-17","2026-05-17T00:00:00","meander","/miˈændər/","蜿蜒；漫步；闲逛；漫谈","The river meanders through the valley.","word","new"
"2026-05-17","2026-05-17T00:00:00","enchant","/ɪnˈtʃænt/","使着迷；使陶醉；施魔法于","The singer's voice enchanted the audience.","word","new"
"2026-05-17","2026-05-17T00:00:00","germinate","/ˈdʒɜːrmɪneɪt/","发芽；萌芽；（想法）开始形成","The seeds will germinate within two weeks.","word","new"
"2026-05-17","2026-05-17T00:00:00","spelunk","/spɪˈlʌŋk/","洞穴探险（作为业余爱好探索洞穴）","They spent the weekend spelunking in the limestone caves.","word","new"
"2026-05-17","2026-05-17T00:00:00","boop","/buːp/","轻碰（尤指轻点鼻子，表达亲昵；口语/网络用语）","She booped the puppy on the nose.","word","new"
"2026-05-17","2026-05-17T00:00:00","muse","/mjuːz/","沉思；冥想；灵感缪斯","He sat by the window, musing about his future.","word","new"
"2026-05-17","2026-05-17T00:00:00","facilitate","/fəˈsɪlɪteɪt/","促进；便利；推动","The new tool will facilitate collaboration across teams.","word","new"
"2026-05-17","2026-05-17T00:00:00","deuce","/djuːs/","平分（网球/羽毛球，双方打成 40 平）；两点（骰子或纸牌）","The score went to deuce in the final game.","word","new"
"2026-05-17","2026-05-17T00:00:00","moderator","/ˈmɒdəreɪtər/","版主；主持人；调解人；（核物理）慢化剂","The moderator kept the panel discussion on track.","word","new"
"2026-05-17","2026-05-17T00:00:00","clamp","/klæmp/","夹具；夹钳；夹紧；压制（clamp down）","Use a clamp to hold the boards together while the glue dries.","word","new"
"2026-05-17","2026-05-17T00:00:00","carpenter","/ˈkɑːrpəntər/","木匠；木工","He works as a carpenter building custom furniture.","word","new"
"2026-05-17","2026-05-17T00:00:00","culprit","/ˈkʌlprɪt/","罪犯；肇事者；元凶；罪魁祸首","A faulty cable was the culprit behind the outage.","word","new"
"2026-05-17","2026-05-17T00:00:00","gracefully","/ˈɡreɪsfəli/","优雅地；得体地；（技术语境）平稳地（如 stop it gracefully 优雅地停止）","The service shuts down gracefully without dropping requests.","word","new"
"2026-05-17","2026-05-17T06:53:00","retain","/rɪˈteɪn/","保留；保持；留住","She struggled to retain her composure during the tough meeting.","word","new"
"2026-05-17","2026-05-17T06:53:00","scoop","/skuːp/","舀；铲起；捞起（通用）；勺子；铲子（名词）","She scooped the rice into a bowl.","word","new"
"2026-05-17","2026-05-17T06:53:00","bail","/beɪl/","把水舀出去；排水（尤指船舱或涝水）；保释（名词/动词）","We had to bail water out of the boat before it sank.","word","new"
"2026-05-17","2026-05-17T06:53:00","muffle","/ˈmʌfəl/","使（声音）变低沉；压低声音；把…裹严实","She muffled her laughter with her hand.","word","new"
"2026-05-17","2026-05-17T06:53:00","double down","/ˈdʌbəl daʊn/","加倍投入；坚持到底（尤指被质疑后反而更强硬）","Instead of apologizing, he doubled down on his original comments.","phrase","new"
"2026-05-17","2026-05-17T06:53:00","endorse","/ɪnˈdɔːrs/","支持；背书；代言；（支票）背面签名","I endorse this proposal wholeheartedly.","word","new"
"2026-05-17","2026-05-17T06:53:00","kk","/keɪ keɪ/","好的；收到（网络口语，= okay）","kk, I'll send the file over now.","word","new"
"2026-05-17","2026-05-17T06:53:00","sliding screen door","/ˈslaɪdɪŋ skriːn dɔːr/","推拉门纱窗；推拉纱门","The sliding screen door keeps bugs out while letting the breeze in.","phrase","new"
"2026-05-17","2026-05-17T06:53:00","make the last subway","/meɪk ðə læst ˈsʌbweɪ/","赶上最后一班地铁","I need to leave now or I won't make the last subway.","phrase","new"
