"date_added","event_ts","original_sentence","corrected_sentence","mistakes","mistake_type","status"
"2026-05-16","2026-05-16T10:00:00","He don't like coffee.","He doesn't like coffee.","Subject-verb agreement: third-person singular ""he"" requires ""doesn't"" (not ""don't"").","agreement","new"
"2026-05-16","2026-05-16T10:05:00","I have went to the store yesterday.","I went to the store yesterday.","Wrong tense: with a past-time marker (""yesterday"") use simple past ""went"", not present perfect ""have gone"". Also ""have went"" is never correct — past participle of ""go"" is ""gone"".","tense","new"
"2026-05-16","2026-05-16T10:10:00","She is more taller than me.","She is taller than me.","Double comparative: ""more"" + ""-er"" is redundant. Use either ""taller"" or ""more tall"" (and ""taller"" is the natural form).","comparative","new"
"2026-05-16","2026-05-16T10:15:00","I am agree with you.","I agree with you.","""Agree"" is a verb, not an adjective — don't pair it with ""am"". Just conjugate it directly: ""I agree.""","word_choice","new"
"2026-05-16","2026-05-16T10:20:00","Can you explain me this problem?","Can you explain this problem to me?","""Explain"" takes the pattern ""explain something to someone"" — you can't put the indirect object directly after the verb the way you can with ""tell"" or ""give"".","syntax","new"
"2026-04-17","2026-04-17T00:00:00","they are all light weighted","They are all lightweight.","1) ""light weighted"" → ""lightweight"": this compound adjective is always written as one word; 2) sentence-initial ""they"" should be capitalized.","word_form;punctuation","new"
"2026-04-17","2026-04-17T00:01:00","in prod, we should use control DAG to stop it gracefully.","In prod, we should use the control DAG to stop it gracefully.","1) Capitalize ""in"" at the start of a sentence; 2) ""control DAG"" → ""the control DAG"": when referring to a specific known entity, use the definite article ""the"".","article;punctuation","new"
"2026-04-27","2026-04-27T00:00:00","I've scheduled a meeting at April 27, 3 PM (Mon).","I've scheduled a meeting on April 27 at 3 PM (Mon).","""at"" → ""on"" for dates: use ""on"" with calendar dates (on April 27) and ""at"" with clock times (at 3 PM). The two prepositions serve different roles and shouldn't be swapped.","preposition","new"
"2026-04-28","2026-04-28T00:00:00","Just cant tell which one plays more import roles.","Just can't tell which one plays a more important role.","1) ""cant"" → ""can't"": missing apostrophe in the contraction; 2) ""import"" → ""important"": wrong word form — the adjective is needed here, not the noun/verb; 3) ""more import roles"" → ""a more important role"": ""which one"" refers to a single thing, so use the singular ""role"" with the article ""a"".","punctuation;word_form;article;plural","new"
"2026-05-12","2026-05-12T00:00:00","It does require a few hours tot make the permission take effect.","It does require a few hours for the permission to take effect.","1) ""tot"" → ""to"": typo/spelling error; 2) ""to make the permission take effect"" → ""for the permission to take effect"": the ""for [noun] to [verb]"" structure is the more natural English construction here.","spelling;register","new"
"2026-05-15","2026-05-15T00:00:00","@Niranjan Balasubramani can you confirm there is log coming in within last 48 h?","@Niranjan Balasubramani can you confirm there are logs coming in within the last 48h?","1) ""there is log"" → ""there are logs"": log entries are countable and plural, so the verb and noun both need to be plural; 2) ""within last 48 h"" → ""within the last 48h"": the definite article ""the"" is required before ""last"" in this time-range phrase.","agreement;plural;article","new"
"2026-05-17","2026-05-17T00:00:00","it depends on how sensitive when it is about space complexity.","It depends on how sensitive it is when it comes to space complexity.","1) Capitalize ""it"" at sentence start; 2) ""how sensitive"" is an adjective dangling without a subject — it needs ""how sensitive it is"" (adjective + subject + verb); 3) ""when it is about"" → ""when it comes to"": ""when it comes to X"" is the natural fixed phrase in English meaning ""regarding X"".","syntax;word_choice;punctuation","new"
"2026-05-17","2026-05-17T00:01:00","it depends on how sensitive when talking about space complexity.","It depends on how sensitive you are when talking about space complexity.","1) Capitalize ""it"" at sentence start; 2) ""how sensitive"" is incomplete — needs a subject and verb: ""how sensitive you are""; 3) ""when talking about"" is technically a dangling participle; clearer as ""when you are talking about"" to make the subject explicit.","syntax;punctuation","new"
